date,id_producto,demanda
2020-01-01,3,869
2020-01-01,4,407
2020-01-01,5,182
2020-01-01,6,91
2020-01-01,7,520
2020-01-01,8,154
2020-01-01,9,721
2020-01-01,10,364
2020-01-01,11,424
2020-01-01,12,692
2020-01-01,13,822
2020-01-01,14,448
2020-01-01,15,667
2020-01-01,16,532
2020-01-01,17,91
2020-01-01,18,178
2020-01-01,19,431
2020-01-01,20,1278
2020-01-01,21,320
2020-01-01,22,405
2020-01-01,23,810
2020-01-01,24,425
2020-01-01,25,260
2020-01-01,26,407
2020-01-01,27,681
2020-01-01,28,405
2020-01-01,29,62
2020-01-01,30,459
2020-01-01,31,642
2020-01-01,32,256
2020-01-01,33,652
2020-01-01,35,498
2020-01-01,36,1031
2020-01-01,37,579
2020-01-01,38,492
2020-01-01,39,874
2020-01-01,40,1226
2020-01-01,41,900
2020-01-01,42,1332
2020-01-01,43,667
2020-01-01,44,335
2020-01-01,45,1147
2020-01-01,46,660
2020-01-01,47,275
2020-01-01,48,251
2020-01-01,49,841
2020-01-01,50,537
2020-01-01,51,508
2020-01-01,52,196
2020-01-01,53,582
2020-01-01,54,1154
2020-01-01,55,1143
2020-01-01,56,147
2020-01-01,57,320
2020-01-01,58,140
2020-01-01,59,194
2020-01-01,60,286
2020-01-01,61,154
2020-01-01,62,671
2020-01-01,63,456
2020-01-01,65,633
2020-01-01,66,732
2020-01-01,67,441
2020-01-01,68,391
2020-01-01,69,519
2020-01-01,70,254
2020-01-01,71,74
2020-01-01,72,427
2020-01-01,73,1040
2020-01-01,74,690
2020-01-01,76,1221
2020-01-01,77,222
2020-01-01,78,503
2020-01-01,80,95
2020-01-01,82,1130
2020-01-01,83,520
2020-01-01,84,694
2020-01-01,85,675
2020-01-01,86,690
2020-01-01,87,766
2020-01-01,88,346
2020-01-01,89,573
2020-01-01,90,1101
2020-01-01,91,521
2020-01-01,92,278
2020-01-01,93,76
2020-01-01,94,779
2020-01-01,95,688
2020-01-01,96,64
2020-01-01,97,895
2020-01-01,98,761
2020-01-01,99,513
2020-01-01,100,209
2020-01-01,101,1596
2020-01-01,102,423
2020-01-01,103,199
2020-01-01,104,346
2020-01-01,105,268
2020-01-01,106,984
2020-01-01,107,644
2020-01-01,108,433
2020-01-01,109,285
2020-01-01,110,336
2020-01-01,111,827
2020-01-01,112,403
2020-01-01,113,107
2020-01-01,114,872
2020-01-01,115,984
2020-01-01,116,174
2020-01-01,117,625
2020-01-01,118,684
2020-01-01,120,93
2020-01-01,121,767
2020-01-01,122,672
2020-01-01,123,424
2020-01-01,124,1029
2020-01-01,125,410
2020-01-01,126,415
2020-01-01,127,912
2020-01-01,128,378
2020-01-01,129,1064
2020-01-01,130,547
2020-01-01,131,179
2020-01-01,132,769
2020-01-01,133,116
2020-01-01,134,884
2020-01-01,135,713
2020-01-02,1,110
2020-01-02,2,503
2020-01-02,3,785
2020-01-02,4,319
2020-01-02,5,183
2020-01-02,6,49
2020-01-02,7,410
2020-01-02,8,117
2020-01-02,9,538
2020-01-02,10,234
2020-01-02,11,319
2020-01-02,13,655
2020-01-02,14,387
2020-01-02,15,755
2020-01-02,16,493
2020-01-02,17,40
2020-01-02,18,180
2020-01-02,19,518
2020-01-02,20,1046
2020-01-02,21,345
2020-01-02,22,363
2020-01-02,23,513
2020-01-02,25,274
2020-01-02,26,345
2020-01-02,28,436
2020-01-02,29,56
2020-01-02,31,401
2020-01-02,32,321
2020-01-02,33,557
2020-01-02,34,222
2020-01-02,35,515
2020-01-02,36,797
2020-01-02,37,614
2020-01-02,38,499
2020-01-02,39,887
2020-01-02,40,996
2020-01-02,41,772
2020-01-02,42,1167
2020-01-02,43,660
2020-01-02,44,359
2020-01-02,45,730
2020-01-02,46,674
2020-01-02,47,228
2020-01-02,48,182
2020-01-02,49,707
2020-01-02,50,482
2020-01-02,51,440
2020-01-02,52,180
2020-01-02,53,622
2020-01-02,54,732
2020-01-02,55,884
2020-01-02,56,114
2020-01-02,57,297
2020-01-02,58,114
2020-01-02,59,199
2020-01-02,60,289
2020-01-02,61,120
2020-01-02,63,488
2020-01-02,64,719
2020-01-02,65,494
2020-01-02,66,667
2020-01-02,67,353
2020-01-02,68,389
2020-01-02,69,511
2020-01-02,70,215
2020-01-02,71,50
2020-01-02,72,314
2020-01-02,73,751
2020-01-02,75,643
2020-01-02,76,1047
2020-01-02,77,133
2020-01-02,78,521
2020-01-02,79,690
2020-01-02,80,73
2020-01-02,81,184
2020-01-02,82,870
2020-01-02,83,402
2020-01-02,84,557
2020-01-02,85,525
2020-01-02,86,487
2020-01-02,87,711
2020-01-02,88,239
2020-01-02,89,404
